index,log_date,log_time,date,time,cases,recovered,died,quarantined,tested
0,2020.03.15.,14:30,2020.03.01.,00:00,0,0,0,0,0
1,2020.03.15.,14:30,2020.03.02.,00:00,0,0,0,0,0
2,2020.03.15.,14:30,2020.03.03.,00:00,0,0,0,0,0
3,2020.03.15.,14:34,2020.03.04.,19:10,2,0,0,21,230
4,2020.03.15.,14:35,2020.03.05.,18:40,2,0,0,39,230
5,2020.03.15.,14:36,2020.03.05.,20:00,3,0,0,40,230
6,2020.03.15.,14:37,2020.03.05.,22:23,4,0,0,40,230
7,2020.03.15.,14:38,2020.03.06.,11:15,4,0,0,39,269
8,2020.03.15.,14:39,2020.03.07.,10:32,5,0,0,39,269
9,2020.03.15.,14:40,2020.03.07.,11:00,5,0,0,48,319
10,2020.03.15.,14:41,2020.03.08.,07:56,7,0,0,48,319
11,2020.03.15.,14:44,2020.03.08.,11:45,7,0,0,67,362
12,2020.03.15.,14:44,2020.03.09.,08:44,9,0,0,67,362
13,2020.03.15.,14:46,2020.03.10.,09:05,12,0,0,67,362
14,2020.03.15.,14:46,2020.03.10.,14:25,12,0,0,67,531
15,2020.03.15.,14:47,2020.03.10.,14:25,12,0,0,53,531
16,2020.03.15.,14:49,2020.03.11.,10:31,13,0,0,69,609
17,2020.03.15.,14:52,2020.03.12.,10:40,16,0,0,69,609
18,2020.03.15.,14:53,2020.03.12.,10:40,16,0,0,65,730
19,2020.03.15.,14:54,2020.03.12.,22:25,16,1,0,65,730
20,2020.03.15.,14:56,2020.03.13.,10:05,19,1,0,79,858
21,2020.03.15.,14:58,2020.03.14.,09:05,25,1,0,79,858
22,2020.03.15.,14:59,2020.03.14.,10:14,25,1,0,79,1014
23,2020.03.15.,15:00,2020.03.14.,19:54,30,1,0,79,1014
24,2020.03.15.,15:02,2020.03.14.,19:54,3,1,0,79,1014
25,2020.03.15.,15:03,2020.03.15.,08:52,32,1,0,91,1236
26,2020.03.15.,15:04,2020.03.15.,09:57,32,1,0,159,1236
27,2020.03.15.,15:05,2020.03.15.,14:20,32,1,1,159,1236
28,2020.03.16.,11:40,2020.03.16.,09:06,39,1,1,136,1436
29,2020.03.16.,12:13,2020.03.16.,09:06,30,1,0,136,1436
30,2020.03.16.,12:33,2020.03.16.,09:06,39,1,1,136,1436
31,2020.03.16.,18:31,2020.03.16.,18:31,39,1,1,137,1470
32,2020.03.16.,21:59,2020.03.16.,21:40,39,2,1,137,1470
33,2020.03.17.,08:51,2020.03.17.,07:35,50,2,1,137,1587
34,2020.03.18.,07:48,2020.03.18.,07:06,58,2,1,122,1803
35,2020.03.19.,08:30,2020.03.19.,07:46,73,2,1,124,2322
36,2020.03.20.,07:59,2020.03.20.,06:49,85,2,1,124,3007
37,2020.03.20.,10:20,2020.03.20.,08:11,85,7,1,116,3007
38,2020.03.20.,11:34,2020.03.20.,11:17,85,7,3,116,3007
39,2020.03.20.,19:51,2020.03.20.,19:34,85,7,4,116,3007
40,2020.03.21.,08:58,2020.03.21.,08:09,103,7,4,117,3447
41,2020.03.22.,08:38,2020.03.21.,08:09,103,7,4,115,4443
42,2020.03.22.,08:39,2020.03.21.,08:38,103,7,4,115,4443
43,2020.03.22.,08:43,2020.03.22.,08:38,103,7,4,115,4443
44,2020.03.22.,08:44,2020.03.22.,08:38,131,7,4,115,4443
45,2020.03.22.,11:16,2020.03.22.,10:31,131,12,6,115,4443
46,2020.03.22.,15:18,2020.03.22.,11:40,131,16,6,115,4443
47,2020.03.23.,07:22,2020.03.23.,06:57,167,16,7,101,5515
