C:\Anaconda3\envs\data_scraper.py\python.exe C:/Users/kristof.drexler/Desktop/corona_tracker_HU-master/data_scraper.py
2020.03.17. ,  08:51 :  New data found, file updated successfully.
2020.03.17. ,  08:52 :  No new data found.
2020.03.17. ,  08:53 :  No new data found.
2020.03.17. ,  08:54 :  No new data found.
2020.03.17. ,  08:55 :  No new data found.
2020.03.17. ,  08:56 :  No new data found.
2020.03.17. ,  08:57 :  No new data found.
2020.03.17. ,  08:58 :  No new data found.
2020.03.17. ,  08:59 :  No new data found.
2020.03.17. ,  09:00 :  No new data found.
2020.03.17. ,  09:01 :  No new data found.
2020.03.17. ,  09:02 :  No new data found.
2020.03.17. ,  09:03 :  No new data found.
2020.03.17. ,  09:04 :  No new data found.
2020.03.17. ,  09:05 :  No new data found.
2020.03.17. ,  09:06 :  No new data found.
2020.03.17. ,  09:07 :  No new data found.
2020.03.17. ,  09:08 :  No new data found.
2020.03.17. ,  09:09 :  No new data found.
2020.03.17. ,  09:10 :  No new data found.
2020.03.17. ,  09:11 :  No new data found.
2020.03.17. ,  09:12 :  No new data found.
2020.03.17. ,  09:13 :  No new data found.
2020.03.17. ,  09:14 :  No new data found.
2020.03.17. ,  09:15 :  No new data found.
2020.03.17. ,  09:16 :  No new data found.
2020.03.17. ,  09:17 :  No new data found.
2020.03.17. ,  09:18 :  No new data found.
2020.03.17. ,  09:19 :  No new data found.
2020.03.17. ,  09:20 :  No new data found.
2020.03.17. ,  09:21 :  No new data found.
2020.03.17. ,  09:22 :  No new data found.
2020.03.17. ,  09:23 :  No new data found.
2020.03.17. ,  09:24 :  No new data found.
2020.03.17. ,  09:25 :  No new data found.
2020.03.17. ,  09:26 :  No new data found.
2020.03.17. ,  09:27 :  No new data found.
2020.03.17. ,  09:49 :  No new data found.
2020.03.17. ,  09:50 :  No new data found.
2020.03.17. ,  09:51 :  No new data found.
2020.03.17. ,  09:52 :  No new data found.
2020.03.17. ,  09:53 :  No new data found.
2020.03.17. ,  09:54 :  No new data found.
2020.03.17. ,  09:55 :  No new data found.
2020.03.17. ,  09:56 :  No new data found.
2020.03.17. ,  09:57 :  No new data found.
2020.03.17. ,  09:58 :  No new data found.
2020.03.17. ,  09:59 :  No new data found.
2020.03.17. ,  10:00 :  No new data found.
2020.03.17. ,  10:01 :  No new data found.
2020.03.17. ,  10:02 :  No new data found.
2020.03.17. ,  10:03 :  No new data found.
2020.03.17. ,  10:04 :  No new data found.
2020.03.17. ,  10:05 :  No new data found.
2020.03.17. ,  10:06 :  No new data found.
2020.03.17. ,  10:07 :  No new data found.
2020.03.17. ,  10:08 :  No new data found.
2020.03.17. ,  10:09 :  No new data found.
2020.03.17. ,  10:10 :  No new data found.
2020.03.17. ,  10:11 :  No new data found.
2020.03.17. ,  10:12 :  No new data found.
2020.03.17. ,  10:13 :  No new data found.
2020.03.17. ,  10:14 :  No new data found.
2020.03.17. ,  10:15 :  No new data found.
2020.03.17. ,  10:16 :  No new data found.
2020.03.17. ,  10:17 :  No new data found.
2020.03.17. ,  10:18 :  No new data found.
2020.03.17. ,  10:19 :  No new data found.
2020.03.17. ,  10:20 :  No new data found.
2020.03.17. ,  10:21 :  No new data found.
2020.03.17. ,  10:22 :  No new data found.
2020.03.17. ,  10:23 :  No new data found.
2020.03.17. ,  10:24 :  No new data found.
2020.03.17. ,  10:25 :  No new data found.
2020.03.17. ,  10:26 :  No new data found.
2020.03.17. ,  10:27 :  No new data found.
2020.03.17. ,  10:28 :  No new data found.
2020.03.17. ,  10:29 :  No new data found.
2020.03.17. ,  10:30 :  No new data found.
2020.03.17. ,  10:31 :  No new data found.
2020.03.17. ,  10:32 :  No new data found.
2020.03.17. ,  10:33 :  No new data found.
2020.03.17. ,  10:34 :  No new data found.
2020.03.17. ,  10:35 :  No new data found.
2020.03.17. ,  10:36 :  No new data found.
2020.03.17. ,  10:37 :  No new data found.
2020.03.17. ,  10:38 :  No new data found.
2020.03.17. ,  10:39 :  No new data found.
2020.03.17. ,  10:40 :  No new data found.
2020.03.17. ,  10:41 :  No new data found.
2020.03.17. ,  10:42 :  No new data found.
2020.03.17. ,  10:43 :  No new data found.
2020.03.17. ,  10:45 :  No new data found.
2020.03.17. ,  10:46 :  No new data found.
2020.03.17. ,  10:47 :  No new data found.
2020.03.17. ,  10:48 :  No new data found.
2020.03.17. ,  10:49 :  No new data found.
2020.03.17. ,  10:50 :  No new data found.
2020.03.17. ,  10:51 :  No new data found.
2020.03.17. ,  10:52 :  No new data found.
2020.03.17. ,  10:53 :  No new data found.
2020.03.17. ,  10:54 :  No new data found.
2020.03.17. ,  10:55 :  No new data found.
2020.03.17. ,  10:56 :  No new data found.
2020.03.17. ,  10:57 :  No new data found.
2020.03.17. ,  10:58 :  No new data found.
2020.03.17. ,  10:59 :  No new data found.
2020.03.17. ,  11:00 :  No new data found.
2020.03.17. ,  11:01 :  No new data found.
2020.03.17. ,  11:02 :  No new data found.
2020.03.17. ,  11:03 :  No new data found.
2020.03.17. ,  11:04 :  No new data found.
